CustomerID,CustomerName,CustomerCreditLimit
2639,Roberson May,3000
2640,Robertson Peter,4000
2641,Robinson Alain,5000
2642,Robinson Cherly,1000
2643,Robinson Elias,1100
2644,Roby Lori,2100
2645,Roehrich Bianca,3100
2646,Roper Katie,4100
2647,Rose Ashley,1200
2648,Rossetti Bruno,4200
2649,RoupSimon,3200
2650,Ruiz Ricardo,2200
2651,Saada Adell,1300
2652,"SaarBeckles, Melinda",3300
2653,Sadki Nore,4300
2654,Sahoo Adil,300
2655,Salter Jason,200
2656,Sander Kamrin,100
2657,Sewkumar Nori,1600
2658,Shepard Anita,4900
2659,Shields Seffi,1600
2660,Simard Kramer,1300
2661,Singh Nan,2600
2662,Sloan Constance,500
2663,Smith Joe,1600
2664,Smith John,600
2665,Smith Leigh Ann,5000
2666,Smith Sade,4000
2667,Soto Julia,400
2668,Soze Keyser,600
2669,Sparks Taylor,700
2670,Spirea Kelley,300
2671,Squatrito Kristen,400
2672,StanfordBarbara  M,4600
2673,Stansfield Norman,4200
2674,Steans Tyrone,2200
2675,Stoica Rick,1100
2676,Strong Caitrin,3300
2677,Sullivan Kissy,4400
2678,Sullivan Timothy,4500
2679,Sutwell Barbara,3500
2680,Szabo Andrew,2500
2681,Tannen Biff,1500
2682,Tavares Desiree,500
2683,Tejeda Lenora,1900
2684,Terry Sharlene,3900
2685,Theamstern Sophia,2900
2686,Thibaud Kenneth,900
2687,Tippett Jeanette,400
2688,Torrence Jack,2900
2689,Trang Mei,3600
2690,Tredinnick Neville,2800
2691,True Edward,4800
2692,Trzeciak Cybil,3200
2693,Turpin Jumil,2200
2694,ValentinJackie,2500
2695,Veera Abdellah,2600
2696,Vega Vincent,4900
2697,Villanueva Noah,5000
2698,Voldemort Lord,4000
2699,Lucy Cechtelar,3000
2700,John Snow,2000
